Job Title,Job Function,Job Level
Vice President - Consumer Media and Pharmaceutical Program Sales,"Management,Sales",Executive
Editor-in-Chief Epicurious,Management,Executive
Partner,Management,Executive
Vice President - Strategy Analysis and Merchandising,"Management,Strategy",Executive
Chief Operating Officer,"Management,Operations",Executive
Chief Operating Officer,"Management,Operations",Executive
Founder,Management,Other
Vice President Global eCommerce Operations,"Management,Operations",Executive
Creative Director and Director Shopper Marketing,Marketing,Manager
Vice President Creative Director and Retail Communications,"Management,Sales",Executive
Vice President of Marketing,"Management,Marketing",Executive
Global Vice President Cookies and Crackers,Management,Executive
Vice President Media and Business Development,"Management,Business",Executive
Senior Vice President Digital Media Director,Management,Executive
Principal,Other,Consultant
Chief Marketing Officer,"Management,Marketing",Executive
Vice President of Business Development,"Management,Business",Executive
Senior Director of Business Development,Business,Manager
Vice President Marketing,"Management,Marketing",Executive
Vice President Marketing,"Management,Marketing",Executive
Vice President of Marketing - Customer Acquisition and B2B Demand Generation,"Management,Marketing,Customer Services",Executive
Vice President of Marketing - CRM and B2B Demand Generation,"Management,Marketing",Executive
Vice President Consumer Marketing,"Management,Marketing",Executive
Marketing Director - Product Management,"Management,Marketing,Products",Manager
Marketing Director - Customer Engagement and Retention,"Marketing,Customer Services",Manager
Marketing Manager - Customer Engagement,"Management,Marketing,Customer Services",Manager
Marketing Manager - Customer Acquisition,"Management,Marketing,Customer Services",Manager
President,Management,Executive
Advisory Board Member,Other,Consultant
Founder,Management,Other
Board Member,Other,Other
Vice President Operations,"Management,Operations",Executive
Area Manager,Management,Manager
Accountant North America Sales Finance,"Sales,Finances",Other
Revenue Accountant,Other,Other
Principal Owner,Other,Consultant
Chairman North America – Executive Director Media Value Measurement,Management,Executive
Managing Director and Registered Principal,Management,Consultant
Vice Chairman US Leadership Team,Other,Manager
Founder and Chief Executive Officer,Management,Executive
Chief Revenue Officer,Management,Executive
Senior Vice President of Human Resources,Management,Executive
Senior Vice President,Management,Executive
Co-founder and Chief Executive Officer,Management,Executive
Chief Business Officer,"Management,Business",Executive
Co-Founder and Chief Executive Officer,Management,Executive
Chief Operating Officer,"Management,Operations",Executive
Co-Founder and Chief Executive Officer,Management,Executive
Analyst,Other,Analyst
Chief Financial Officer,"Management,Finances",Executive
Vice President Global Strategy and Marketing,"Management,Marketing,Strategy",Executive
Founder,Management,Other
Senior Director Enterprise Value Added Services,Services,Manager
Vice President Global Brand,Management,Executive
Managing Partner,Management,Executive
Vice President Global Brand,Management,Executive
Head of Media Sales and Business Development,"Business,Sales",Other
Vice President and Associate Publisher,"Consultant Services,Management",Executive
Vice President of Marketing,"Management,Marketing",Executive
Head of Business Development West Coast,Business,Other
Senior Vice President Global Client Director,Management,Executive
Vice President Group Strategic Planner,"Management,Strategy",Executive
Director of Marketing,Marketing,Manager
Vice President Partnerships,Management,Executive
Board Member,Other,Other
Board Director,Other,Manager
Chief Human Resources Officer,Management,Executive
Senior Vice President and Chief People Officer,Management,Executive
Independent Consultant,Consultant Services,Consultant
Vice President Marketing,"Management,Marketing",Executive
Advisor,Other,Consultant
Chief Retail Officer,"Management,Sales",Executive
Partner Chief Marketing Officer,"Management,Marketing",Executive
Director Global Talent Management and Bain Executive Network,"Management,HR",Executive
Chief Executive Officer,Management,Executive
Inspirational Speaker On-Air Host VoiceOver Talent Writer Blogger Cancer Survivor Advocate,HR,Other
News Anchor,Other,Other
Senior Vice President of Sales and General Manager Americas,"Management,Sales",Executive
Advisor,Other,Consultant
Senior Vice President of Sales and General Manager America,"Management,Sales",Executive
Senior Vice President Marketing,"Management,Marketing",Executive
Chief Executive Officer,Management,Executive
Chief Executive Officer NYC,Management,Executive
Managing Partner,Management,Executive
Board Member,Other,Other
Board Member,Other,Other
Mentor,Other,Other
Executive Producer/Creative Director HBO Digital and Social Media,Management,Executive
Senior Vice President General Manager,Management,Executive
Principal or Founder,Management,Consultant
Vice President of Sales Enablement and Business Development,"Management,Business,Sales",Executive
Executive Vice President Business Development,"Management,Business",Executive
Senior Vice President National Sales,"Management,Sales",Executive
President and Chief Operating Officer,"Management,Operations",Executive
Senior Director Segment Management State and Local Government,Management,Manager
Chief Digital Officer,Management,Executive
Vice President Factiva Products,"Management,Products",Executive
President and Publisher,Management,Executive
Senior HR Manager,Management,Manager
Vice President of Human Resources,Management,Executive
Advisor,Other,Consultant
HR Director,Other,Manager
HR Director,Other,Manager
Vice President HR and Talent Acquisition,"Management,HR",Executive
Northwest Regional HR Manager,Management,Manager
HR Manager,Management,Manager
HR Manager,Management,Manager
Employee Relations Representative,Other,Other
HR Specialist,Other,Other
Chief Revenue Officer,Management,Executive
Chief Revenue Officer,Management,Executive
Vice President Publisher Development,Management,Executive
CRO,Other,Other
Founder Chief Executive Officer,Management,Executive
Founder Investor,Management,Other
Chairman,Other,Other
Corporate Vice President Sales and Marketing,"Management,Marketing,Sales",Executive
Vice President US Sales,"Management,Sales",Executive
chief creative officer,Management,Executive
Managing Director,Management,Manager
Chief Executive Officer,Management,Executive
Independent Consultant,Consultant Services,Consultant
President and Chief Operating Officer,"Management,Operations",Executive
Executive Director Video Strategy and Content,"Management,Strategy",Executive
Senior Vice President Head of Sales,"Management,Sales",Executive
Executive Vice President of Sales,"Management,Sales",Executive
Principal,Other,Consultant
Chief Finance Officer or Head of Finance Digital,"Management,Finances",Executive
Chief Finance Officer Digital,"Management,Finances",Executive
Principal and Founder,Management,Consultant
Course Leader - Communications,Other,Manager
Coach Advisor and Consultant,Consultant Services,Consultant
Associate Vice President Human Resources Communications,"Consultant Services,Management",Executive
Executive Fashion Director Corporate Partnerships,Management,Executive
Executive Director Network Sales and Partnerships,"Management,Sales",Executive
Equity Research Analyst - Healthcare,Research,Analyst
Founder and Chief Executive Officer,Management,Executive
Principal and Chief Finance Officer,"Management,Finances",Executive
Executive Vice President,Management,Executive
Executive and Senior Vice President,Management,Executive
Vice President Global Marketing,"Management,Marketing",Executive
Senior Vice-President Sourcing and Production,"Management,Products",Executive
Senior Vice-President Sourcing and Production Jones Jeanswear Division,"Management,Products",Executive
Senior Vice President Interactive Marketing,"Management,Marketing",Executive
Managing Director,Management,Manager
Vice President of Business Development,"Management,Business",Executive
Revenue Consultant,Consultant Services,Consultant
Advisor,Other,Consultant
Vice President Supply Chain,Management,Executive
Chief Marketing Officer,"Management,Marketing",Executive
President or Chief Executive Officer or Board Director,Management,Executive
President,Management,Executive
Director of Platform Strategy,Strategy,Manager
Account Director - Mercedes-Benz USA,Other,Manager
Director of Account Development,Other,Manager
Vice President - Strategy and Implementation,"Management,Strategy",Executive
Chief Executive Officer,Management,Executive
Principal and Consultant,Consultant Services,Consultant
Founder and Chief Executive Officer,Management,Executive
Digital Solutions Expert,Other,Other
Vice President of Architecture,"Management,IT",Executive
Senior Digital Solutions Expert,Other,Other
Senior Vice President Motion Picture Finance,"Management,Finances",Executive
Founder,Management,Other
Vice President Digital Operations,"Management,Operations",Executive
Chief Financial Officer,"Management,Finances",Executive
Executive Vice President and Chief Finance Officer,"Management,Finances",Executive
Vice President of Business Development/ HIPAA Privacy Officer,"Management,Business",Executive
Vice President,Management,Executive
Vice President Business Development,"Management,Business",Executive
Prinicpal,Other,Other
Digital Consulting Lead Product and Strategy,"Consultant Services,Products,Strategy",Manager
Judge,Other,Other
Chief Marketing Officer,"Management,Marketing",Executive
Human Resources Leader,Other,Manager
Vice President of Human Resources,Management,Executive
Founder and Chief Executive Officer,Management,Executive
Founder and Managing Partner,Management,Executive
Chief Technology Officer,Management,Executive
Chief Technology Officer,Management,Executive
Chief Executive Officer,Management,Executive
Chief Operating Officer,"Management,Operations",Executive
Interim Role: Director of Marketing,Marketing,Manager
VP/GM Co-Founder Board Observer,Management,Other
VP/GM,Other,Other
Vice President and General Manager,Management,Executive
Chief Executive Officer Co-Founder,Management,Executive
Co Founder,Management,Other
Managing Director,Management,Manager
Managing Director,Management,Manager
President | Chief Executive Officer | Through,Management,Executive
Chief Executive Officer | K12 Formative Assessment Focused on College and Career Readiness,Management,Executive
Chief Information Officer,Management,Executive
Co-Chair Philanthropy Council,Other,Other
Vice President Marketing,"Management,Marketing",Executive
Vice President of Marketing,"Management,Marketing",Executive
Vice President Marketing,"Management,Marketing",Executive
Head of Marketing,Marketing,Other
Owner/Executive Producer,Management,Executive
Vice President,Management,Executive
Founder/Creative Chief,Management,Executive
Technology Director - Head of Order to Pay Technology Platform,Other,Manager
Senior Vice President of Corporate Development,Management,Executive
Executive Vice President and President Corporate Development New Ventures and Investments,Management,Executive
Senior Vice President Co-founder,Management,Executive
Vice President Product,"Management,Products",Executive
Co-founder and Senior Vice President Product,"Management,Products",Executive
Chief Operating Officer,"Management,Operations",Executive
Chief Operating Officer,"Management,Operations",Executive
Vice President Sales and Marketing,"Management,Marketing,Sales",Executive
Sales Product Marketing Head or Chief Operating Officer,"Products,Management,Marketing,Sales,Operations",Executive
General Manager Vice President Institutional Services,"Management,Services",Executive
Line of Business Owner,Business,Other
Vice President Sales and Product Management,"Management,Sales,Products",Executive
Chief Operating Officer,"Management,Operations",Executive
Executive Vice President Finance,"Management,Finances",Executive
Idea Chef | Chief Marketing Officer | Marketing Advisor | Marketing Consultant | Customer Marketing,"Consultant Services,Marketing,Management,Customer Services",Executive
Chief Marketing Officer,"Management,Marketing",Executive
Chief Executive Officer and Business Whisperer,"Management,Business",Executive
Advisory Board Member,Other,Consultant
Mentor,Other,Other
Mentor,Other,Other
Idea Chef | C-Suite Advisor | Business Strategist | Chief Marketing Officer | Customer Champion,"Management,Business,Marketing,Customer Services,Strategy",Executive
Co-Founder,Management,Other
Regional Vice President of sales for Fortune Healthcare Retail CPG Verticals,"Management,Sales",Executive
Chief Legal and People Officer and General Counsel,Management,Executive
Chief Legal and People Officer,Management,Executive
Saatchi and Saatchi,Other,Other
Deputy General Counsel and Deputy Chief Compliance Officer,Management,Executive
Chief Marketing Officer,"Management,Marketing",Executive
Director of Social Media and Digital Marketing,Marketing,Manager
Chief Content Officer,Management,Executive
Chief Operating Officer,"Management,Operations",Executive
Independent Consultant,Consultant Services,Consultant
Senior Vice President Core Consumer Products and Loyalty Solutions LAC,"Management,Products",Executive
Vice President Product Management Viacom Vantage,"Management,Products",Executive
Founder Chief Operating Officer,"Management,Operations",Executive
Vice President Product Management,"Management,Products",Executive
Managing Partner,Management,Executive
Chief Marketing Officer,"Management,Marketing",Executive
Executive Vice President Global Head of Enterprise Data Analytics and Architecture,"Management,IT,Analytics",Executive
Senior Vice President Business Analytics,"Management,Business,Analytics",Executive
Chief Data Acquisition Officer,Management,Executive
Founder,Management,Other
Advisor,Other,Consultant
Vice President Corporate Development,Management,Executive
Vice President of Corporate Development,Management,Executive
Vice President of Sales,"Management,Sales",Executive
Director of Sales,Sales,Manager
VP/GM Global Oral Care,Other,Other
Director of Segment Management,Management,Manager
Principal,Other,Consultant
President and Chief Finance Officer,"Management,Finances",Executive
Vice President Product Marketing and Consumer Engagement,"Management,Marketing,Products",Executive
Vice President of Marketing,"Management,Marketing",Executive
Vice President Corporate Sales and Marketing,"Management,Marketing,Sales",Executive
Principle,Other,Other
Head of Solutions Consulting,Consultant Services,Other
Vice President Strategy and Insights,"Management,Strategy",Executive
Head of Solutions Consulting,Consultant Services,Other
Head of Solutions Consulting,Consultant Services,Other
General Manager Enterprise Solutions,Management,Manager
Senior Vice President Program Management,Management,Executive
Vice President - Strategy and Corporate Development CNN,"Management,Strategy",Executive
Executive Director Digital Commerce,Management,Executive
Principal,Other,Consultant
Vice President of Business Development,"Management,Business",Executive
Vice President Customer Planning and Trade Marketing Active Search,"Management,Marketing,Customer Services",Executive
Vice President Customer Planning and Investment,"Management,Customer Services",Executive
Head of Global Media,Other,Other
Vice President Enterprise Sales VideoHub,"Management,Sales",Executive
Vice President Sales,"Management,Sales",Executive
Vice President Commercial,Management,Executive
Chief Executive Officer and Co-founder,Management,Executive
Vice President of Product Management,"Management,Products",Executive
Chief Marketing Officer,"Management,Marketing",Executive
Vice President Marketing and eCommerce,"Management,Marketing",Executive
Vice President Marketing and eCommerce,"Management,Marketing",Executive
Senior Vice President of Marketing and Strategy,"Management,Marketing,Strategy",Executive
Chief Marketing Officer Terminix,"Management,Marketing",Executive
Board Member,Other,Other
Global Head of Innovation and Digital Business Centers,Business,Other
Executive Vice President Corporate Strategy and Development,"Management,Strategy",Executive
Vice President Global M&A,Management,Executive
President,Management,Executive
Real Estate Agent,Other,Other
President,Management,Executive
Senior Vice President Worldwide Content Distribution,Management,Executive
Co-President,Management,Executive
Senior Vice President,Management,Executive
Senior Vice President PlayStation Marketing,"Management,Marketing",Executive
Senior Vice President Intuit Global Marketing,"Management,Marketing",Executive
Vice President Digital Experience Capabilities and Emerging Product Marketing,"Management,Marketing,Products",Executive
Media Partnership Lead,Management,Executive
Head of Marketing - MyHabit,Marketing,Other
Vice President Digital Experience Capabilities and Emerging Product Marketing,"Management,Marketing,Products",Executive
Executive Director Digital Content and Experiences,Management,Executive
Customer Experience Director,Customer Services,Manager
Chief Talent Officer,"Management,HR",Executive
Chief Talent Officer,"Management,HR",Executive
Adjunct Professor,Education,Professor
Chairman,Other,Other
Chief Executive Officer and Founder,Management,Executive
CEO-in-Residence,Other,Other
Vice President Marketing,"Management,Marketing",Executive
Chief Executive Officer and Founder,Management,Executive
Chief Operating Officer,"Management,Operations",Executive
Chief Executive Officer and Founder,Management,Executive
Chief Executive Officer and Founder,Management,Executive
Managing Director,Management,Manager
Vice President - Global Innovation,Management,Executive
Senior Director of Marketing - Splenda,Marketing,Manager
Senior Vice President of Marketing,"Management,Marketing",Executive
Vice President Global Business Development,"Management,Business",Executive
Vice President Product Strategy,"Management,Products,Strategy",Executive
Managing Principal Consultant,"Consultant Services,Management",Consultant
Managing Director - Workplace Strategy,"Management,Strategy",Manager
Managing Director - Technology Strategy,"Management,Strategy",Manager
Senior Technology Consultant,Consultant Services,Consultant
Chairman and Chief Executive Officer,Management,Executive
Operating Partner,"Management,Operations",Executive
Senior Vice President of Sales,"Management,Sales",Executive
COO/CFO,Other,Other
Chief Financial Officer,"Management,Finances",Executive
Advisory Board Member,Other,Consultant
Advisor and Mentor,Other,Consultant
Advisor,Other,Consultant
Chief Executive Officer,Management,Executive
Advisor,Other,Consultant
Chief Executive Officer,Management,Executive
Partner and Chief Executive Officer,Management,Executive
Partner Head of Product,"Management,Products",Executive
President and Chief Revenue Officer,Management,Executive
Chief Product and Marketing Officer,"Management,Marketing,Products",Executive
Senior Vice President Product and Marketing,"Management,Marketing,Products",Executive
Executive Vice President Branded Business Strategy and Operations,"Management,Business,Operations,Strategy",Executive
General Manager Xbox LIVE,Management,Manager
President,Management,Executive
Vice President Consumer Products and WW Interactive Group,"Management,Products",Executive
Deputy Managing Director International,Management,Manager
Executive Director ECS CA KPIT,Management,Executive
Chief Executive Officer,Management,Executive
Chief Executive Officer,Management,Executive
Chief Executive Officer,Management,Executive
President,Management,Executive
Vice President Business Development,"Management,Business",Executive
Business Development Lead,Business,Manager
Vice President Strategic Alliances and Business Development,"Management,Business,Strategy",Executive
Senior Vice President Group Director Brand Content LiquidThread Chicago,Management,Executive
Executive Vice President Product Development,"Management,Products",Executive
Vice President Member Acquisition,Management,Executive
Vice President Marketing,"Management,Marketing",Executive
Vice President Marketing,"Management,Marketing",Executive
Independent Business Consultant,"Consultant Services,Business",Consultant
Chief Financial Officer,"Management,Finances",Executive
Partner,Management,Executive
Independent Consultant,Consultant Services,Consultant
Vice President Global Marketing Content and Strategy,"Management,Marketing,Strategy",Executive
Vice President Consumer Marketing and Strategy - History Channel,"Management,Marketing,Strategy",Executive
Vice President Marketing and Media National Women's Soccer League,"Management,Marketing",Executive
Vice President Global Marketing Content Strategy and Social Media,"Management,Marketing,Strategy",Executive
Vice President Consumer Marketing HISTORY: Brand Strategy Media Social Media Partnerships,"Management,Marketing,Strategy",Executive
Director of Marketing - Amp Energy,Marketing,Manager
Director of Innovation,Other,Manager
Senior Manager: Consumer Engagement: Media Strategy Entertainment and Digital and Social Marketing,"Management,Marketing,Strategy",Manager
Manager TM Pepsi,Management,Manager
Manager Product Innovation,"Management,Products",Manager
Brand Marketing: Senior Associate Brand Manager thru Mktg Intern,"Consultant Services,Marketing,Management",Manager
Chief Executive Officer,Management,Executive
Chief Technology Officer,Management,Executive
Vice President of Marketing,"Management,Marketing",Executive
Head of Consumer Industries,Other,Other
Marketing Strategy Consultant,"Consultant Services,Marketing,Strategy",Consultant
Co-Founder Board Member,Management,Other
Co-Founder,Management,Other
Head of Market Strategy,"Marketing,Strategy",Other
Board Member,Other,Other
Senior Vice President Business Media,"Management,Business",Executive
Vice President Weight Watchers Media,Management,Executive
Vice President Sales,"Management,Sales",Executive
Vice President,Management,Executive
Media and Marketing Consultant,"Consultant Services,Marketing",Consultant
Director - Media and Partnership Marketing,"Management,Marketing",Executive
Principal,Other,Consultant
Principal,Other,Consultant
Senior Vice President Corporate Strategy or M&A,"Management,Strategy",Executive
Chief Executive Officer,Management,Executive
Chief Operating Officer,"Management,Operations",Executive
Chief Operating Officer,"Management,Operations",Executive
Founder,Management,Other
Senior Vice President Editor in Chief Content Marketing and Syndication,"Management,Marketing",Executive
Strategy and Design Consultant or Founder,"Consultant Services,Management,Strategy",Consultant
Vice President Product Development and Business Strategy,"Management,Business,Products,Strategy",Executive
Vice President of Product Management,"Management,Products",Executive
Vice President Brand Strategy,"Management,Strategy",Executive
Founder and Chief Executive Officer,Management,Executive
Vice President- Corporate Employment and Development Partnerships,Management,Executive
Vice President Acquisitions,Management,Executive
Adjunct Assistant Professor,Education,Professor
Chief Marketing Officer US,"Management,Marketing",Executive
Senior Vice President Product and Marketing US Direct,"Management,Marketing,Products",Executive
Vice President Midwest Sales,"Management,Sales",Executive
Co-Founder,Management,Other
Vice President and General Manager Digital - Travel,Management,Executive
Vice President Digital Strategy and Operations,"Management,Operations,Strategy",Executive
Vice President/General Manager Luxury and Travel Brands,Management,Executive
Vice President and General Manager Digital Media,Management,Executive
General Manager,Management,Manager
Vice President Director Interactive Operations,"Management,Operations",Executive
Regional Medical Director,Other,Manager
Vice President Head of Strategy,"Management,Strategy",Executive
Vice President of Strategy,"Management,Strategy",Executive
Independent Consultant and Private Investor,Consultant Services,Consultant
Chief Operating Officer,"Management,Operations",Executive
Managing Partner,Management,Executive
Mentor,Other,Other
Executive in Residence PMO and Internationalization Strategies,"Management,Strategy",Executive
Chief Marketing Officer,"Management,Marketing",Executive
Chief Executive Officer,Management,Executive
Chief Information Officer,Management,Executive
Member of the Board of Advisors,Other,Consultant
General Manager Human Resources - Pacific Brands Underwear Group,Management,Manager
Consultant/Digital Media Adviser,Consultant Services,Consultant
Corporate Vice President - Global Applications,Management,Executive
EVP/GM Interactive and Distribution,Other,Other
EVP/GM Interactive and Digital Distribution,Other,Other
Principal/Owner,Other,Consultant
Executive Vice President/General Manager Interactive and Distribution,Management,Executive
SVP/GM Digital Media Group,Other,Other
Executive Vice President,Management,Executive
Senior Vice President Weight Watchers Online,Management,Executive
Vice President Product Development,"Management,Products",Executive
Director/Senior Director Marketing and Product Development,"Marketing,Products",Manager
Consultant,Consultant Services,Consultant
Director Worldwide Marketing,Marketing,Manager
Director National Advertising,Advertising,Manager
Chief Operating Officer,"Management,Operations",Executive
Senior Vice President Chief Operating Officer Advertising Sales,"Management,Operations,Sales,Advertising",Executive
Senior Vice President Chief Operating Officer Advertising Sales,"Management,Operations,Sales,Advertising",Executive
Senior Vice President Chief Finance Officer Ad Sales Scripps Networks Interactive,"Management,Sales,Finances",Executive
Senior Director Digital and Social Media Marketing,Marketing,Manager
Partner,Management,Executive
Board Member,Other,Other
Principal,Other,Consultant
Senior Corporate Counsel,Other,Other
Corporate Information Security Officer,Other,Executive
Vice President of Technology and Information Security,Management,Executive
Director Video Ad Sales Eastern Region,Sales,Manager
Chief Finance Officer,"Management,Finances",Executive
Chief Operating Officer or Chief Technology Officer,"Management,Operations",Executive
Vice President of FS Sales,"Management,Sales",Executive
Executive Director,Management,Executive
Senior Director Business Development Media and Entertainment Group,Business,Manager
Vice President of Marketing North America,"Management,Marketing",Executive
Marketing Director,Marketing,Manager
Advisor to Early-Stage Startups,Other,Consultant
President and General Manager,Management,Executive
Strategic Alliances Manager,"Management,Strategy",Manager
Vice President Senior Account Manager DCIO/ Sub-Advisory,Management,Executive
Co-founder and Managing Partner,Management,Executive
Senior Vice President,Management,Executive
President,Management,Executive
Principal Consultant,Consultant Services,Consultant
Head of Marketing,Marketing,Other
Consultant,Consultant Services,Consultant
Principal,Other,Consultant
Vice President of Marketing,"Management,Marketing",Executive
Senior Lecturer Marketing Sports Management and Product Innovation,"Management,Marketing,Products,Education",Other
Vice President Brand Management Marketing Digital and Social Media,"Management,Marketing",Executive
Vice President Communications and Strategy,"Management,Strategy",Executive
Advisory Board Member,Other,Consultant
Head of Digital Marketing,Marketing,Other
Vice President of Marketing,"Management,Marketing",Executive
Vice President of Marketing,"Management,Marketing",Executive
Marketing Executive Vice President,"Management,Marketing",Executive
Senior Consultant,Consultant Services,Consultant
Chief Executive Officer and President,Management,Executive
Director Global Creative and Brand Activation,Other,Manager
Senior Vice President Global Head of Creative,Management,Executive
Vice President Revenue Operations,"Management,Operations",Executive
Board Member,Other,Other
Chief Finance Officer and Executive Vice President of Corporate Development,"Management,Finances",Executive
Founder,Management,Other
President and Chief Executive Officer,Management,Executive
Vice President of Business Development,"Management,Business",Executive
Director of Marketing,Marketing,Manager
Partner,Management,Executive
Senior Consultant,Consultant Services,Consultant
Group Brand Director - Schick Men's Shaving Systems,Other,Manager
Global Director of Innovation,Other,Manager
Global Business Manager,"Management,Business",Manager
Brand Manager,Management,Manager
Vice President New Business Development,"Management,Business",Executive
Senior Director | CPG Store Branding,Other,Manager
Vice President/GM Mobile Advertising,"Management,Advertising",Executive
Advisor,Other,Consultant
Head of Publisher Relations and Business Development,Business,Other
Chief Operating Officer,"Management,Operations",Executive
President Freshwater Boat Group,Management,Executive
Vice President,Management,Executive
Founder and Managing Partner,Management,Executive
Mentor,Other,Other
Chief Marketing Officer,"Management,Marketing",Executive
Vice President Global Business Development and Strategic Partnerships,"Management,Business,Strategy",Executive
Vice President Global Business Development and Strategic Partnerships,"Management,Business,Strategy",Executive
Head of Business Development,Business,Other
Managing Director of Sales - North America,"Management,Sales",Manager
Vice President Product Sales Strategy and Distribution - Disney Canada Inc.,"Management,Sales,Products,Strategy",Executive
Managing Director,Management,Manager
Chief Commercial Officer,Management,Executive
Senior Vice President Cross Platform Sales,"Management,Sales",Executive
Senior Vice President Advertising Sales,"Management,Sales,Advertising",Executive
Vice President Advertising Sales,"Management,Sales,Advertising",Executive
Vice President Daytime Late Night Sales,"Management,Sales",Executive
Vice President Network News Sales,"Management,Sales",Executive
Primetime Sales,Sales,Other
Vice President Sales,"Management,Sales",Executive
Chief Financial Officer,"Management,Finances",Executive
Chief Financial Officer,"Management,Finances",Executive
Executive Vice President and Chief Counsel Cable Entertainment Legal Affairs,Management,Executive
General Counsel and Executive Vice President Business Affairs for Nickelodeon Networks,"Management,Business",Executive
Revenue Growth and Business Development Consultant,"Consultant Services,Business",Consultant
Revenue Growth Consultant and Advisor,Consultant Services,Consultant
Business Development and Strategic Sales - Enterprise and Innovation Incubator,"Business,Sales,Strategy",Other
General Manager EMEA Xbox Marketing,"Management,Marketing",Manager
Director Social Shopping,Other,Manager
General Manager Xbox EMEA,Management,Manager
Senior Director Xbox LIVE,Other,Manager
Product Manager,"Management,Products",Manager
Global Strategic Insights,Strategy,Other
Global Account Director,Other,Manager
Freelance Consultant,Consultant Services,Consultant
Chief Revenue Officer,Management,Executive
Chief Technology Officer,Management,Executive
Chief Revenue Officer,Management,Executive
Chief Executive Officer Founder,Management,Executive
Investor/Advisor,Other,Consultant
Founder and Chief Executive Officer Lifehack Labs,Management,Executive
Chief Executive Officer Co-Founder,Management,Executive
Chief Executive Officer Co-Founder,Management,Executive
Co-Founder,Management,Other
Co-Founder,Management,Other
Investor/Advisor,Other,Consultant
Chief Executive Officer Founder,Management,Executive
Chief Executive Officer and Founder,Management,Executive
Managing Partner,Management,Executive
Chief Executive Officer,Management,Executive
Brand Manager,Management,Manager
Strategist,Strategy,Other
Principal,Other,Consultant
Senior Vice President - Strategy and Business Development,"Management,Business,Strategy",Executive
Executive Vice President Digital and Integrated Marketing,"Management,Marketing",Executive
Senior Director of Brand Engagement,Other,Manager
Entrepreneur in Residence,Entrepreneur,Other
President and Chief Operating Officer,"Management,Operations",Executive
Co-Founder and Co-CEO,Management,Other
Vice President/CTO and Chief Architect Enterprise Technology Strategy and Architecture,"Management,IT,Strategy",Executive
Executive Director Enterprise Architecture and Data Management,"Management,IT",Executive
Vice President Global Strategy,"Management,Strategy",Executive
Vice President Corporate Strategy and Development,"Management,Strategy",Executive
Vice President Strategy and Operations,"Management,Operations,Strategy",Executive
Program Director Corporate Strategy,Strategy,Manager
Program Director New Market Initiatives Global Business Services,"Business,Services,Marketing",Manager
Associate Partner,"Consultant Services,Management",Executive
Director of Research N. America,Research,Manager
Senior Director NA Integrated Marketing and Communications,Marketing,Manager
Vice President and Senior Director Marketing roles,"Management,Marketing",Executive
Head of HR Max Bupa,Other,Other
HR UBS Investment Bank,Other,Other
President and Chief Executive Officer Board of Directors,Management,Executive
Chief Financial Officer,"Management,Finances",Executive
Senior Vice President Chief Financial Officer,"Management,Finances",Executive
Advertising Director,Advertising,Manager
Senior Vice President Data Analysis and Insights,Management,Executive
Chief Marketing Officer,"Management,Marketing",Executive
Advisor,Other,Consultant
Retail Advisory Board,Sales,Consultant
Vice President E-Commerce,Management,Executive
Chief Executive Officer and Co-Founder,Management,Executive
Senior Director E-commerce Marketing,Marketing,Manager
Senior Analyst - Travel and Email Marketing,Marketing,Analyst
Senior Consultant,Consultant Services,Consultant
Innovative Leader,Other,Manager
Vice President of Operations,"Management,Operations",Executive
Advisor,Other,Consultant
National Sales Director Entertainment,Sales,Manager
Vice President of Product Management,"Management,Products",Executive
Vice President Product Management - Communications Products,"Management,Products",Executive
Vice President Product Management - Yahoo Mail,"Management,Products",Executive
Chief Legal Officer and Chief Talent Officer,"Management,HR",Executive
Executive Vice President General Counsel and Secretary,Management,Executive
Vice President,Management,Executive
Vice President of Marketing,"Management,Marketing",Executive
Executive Vice President National Growth Practices,Management,Executive
Executive Vice President Co-Head – Investor Services Division,"Management,Services",Executive
Executive Vice President and Co-Head of Investor Services Multi-channel Growth Strategy,"Management,Services,Strategy",Executive
Principal,Other,Consultant
President Executive Consultant Speaker Marketing/Financial Strategist,"Management,Marketing,Consultant Services,Strategy,Finances",Executive
Senior Vice President Marketing Operations and Supply Chain,"Management,Operations,Marketing",Executive
Senior Vice President Marketing,"Management,Marketing",Executive
Vice President Marketing,"Management,Marketing",Executive
Vice President Merchandise Finance and Administration,"Management,Finances,Strategy",Executive
Manager Strategic Planning,"Management,Strategy",Manager
Senior Auditor,Other,Other
Supervisor Internal Audit,Other,Other
Senior Auditor,Other,Other
Executive Director Content Development,Management,Executive
President Level One - a RealPage Company,Management,Executive
Vice President Product Strategy and Operations,"Management,Operations,Products,Strategy",Executive
Entrepreneur,Entrepreneur,Other
Senior Vice President Brand Management,Management,Executive
Chief Business Officer,"Management,Business",Executive
Senior Vice President - Finance and Advertising,"Management,Advertising,Finances",Executive
Co Founder,Management,Other
Global Chief Marketing Officer,"Management,Marketing",Executive
Head of Brand Management Integrated Marketing and Communication,"Management,Marketing",Other
Principal - Marketing and Strategy Consultant,"Consultant Services,Marketing,Strategy",Consultant
Head of Brand Management Licensing and Merchandising,Management,Other
President and Chief Operating Officer - Americas,"Management,Operations",Executive
Vice President or General Manager,Management,Executive
Treasurer,Other,Other
